task-2000,value 1
task-2000,value 2
task-2000,value 3
task-2000,value 4
task-2000,value 5
task-2000,value 6
task-2000,value 7
task-2000,value 8
task-2000,value 9
task-2000,value 10
task-2000,value 11
task-2000,value 12
task-2000,value 13
task-2000,value 14
task-2000,value 15
task-2000,value 16
task-2000,value 17
task-2000,value 18
task-2000,value 19
task-2000,value 20
task-2000,value 21
task-2000,value 22
task-2000,value 23
task-2000,value 24
task-2000,value 25
task-2000,value 26
task-2000,value 27
task-2000,value 28
task-2000,value 29
task-2000,value 30
task-2000,value 31
task-2000,value 32
task-2000,value 33
task-2000,value 34
task-2000,value 35
task-2000,value 36
task-2000,value 37
task-2000,value 38
task-2000,value 39
task-2000,value 40
task-2000,value 41
task-2000,value 42
task-2000,value 43
task-2000,value 44
task-2000,value 45
task-2000,value 46
task-2000,value 47
task-2000,value 48
task-2000,value 49
task-2000,value 50
task-2000,value 51
task-2000,value 52
task-2000,value 53
task-2000,value 54
task-2000,value 55
task-2000,value 56
task-2000,value 57
task-2000,value 58
task-2000,value 59
task-2000,value 60
task-2000,value 61
task-2000,value 62
task-2000,value 63
task-2000,value 64
task-2000,value 65
task-2000,value 66
task-2000,value 67
task-2000,value 68
task-2000,value 69
task-2000,value 70
task-2000,value 71
task-2000,value 72
task-2000,value 73
task-2000,value 74
task-2000,value 75
task-2000,value 76
task-2000,value 77
task-2000,value 78
task-2000,value 79
task-2000,value 80
task-2000,value 81
task-2000,value 82
task-2000,value 83
task-2000,value 84
task-2000,value 85
task-2000,value 86
task-2000,value 87
task-2000,value 88
task-2000,value 89
task-2000,value 90
task-2000,value 91
task-2000,value 92
task-2000,value 93
task-2000,value 94
task-2000,value 95
task-2000,value 96
task-2000,value 97
task-2000,value 98
task-2000,value 99
task-2000,value 100
